genre,format,number_of_pages,weight,rating,rating_count,price,year
romance,Paperback,288,322.0,3.8,177093.0,14.93,2016
romance,Paperback,384,266.0,4.04,110400.0,10.47,2021
romance,Paperback,96,96.0,3.81,63495.0,5.81,1992
romance,Paperback,384,260.0,3.87,85715.0,8.46,2019
romance,Paperback,432,232.0,4.04,110400.0,10.62,2015
romance,Paperback,560,373.0,3.99,145263.0,13.27,2012
romance,Paperback,672,460.0,4.37,4511.0,17.35,2018
romance,Paperback,256,184.0,3.37,2795.0,11.89,2008
romance,Paperback,432,300.0,3.48,2188.0,12.73,2011
romance,Paperback,272,196.0,4.026789306511371,552.0,28.94,2017
romance,Paperback,288,340.0,3.8,177093.0,17.09,2016
romance,Paperback,464,300.0,3.92,196740.0,13.63,2018
romance,Paperback,416,280.0,4.34,10234.0,13.78,2021
romance,Paperback,384,295.0,3.78,7485.0,10.63,2012
romance,Paperback,208,120.0,3.73,636.0,8.77,2014
romance,Paperback,708,539.0,4.28,2067.0,26.53,2002
romance,Paperback,176,136.0,3.81,63495.0,11.18,2008
romance,Paperback,48,50.0,4.75,214.0,11.75,2014
romance,Paperback,236,272.0,4.24,1345.0,15.49,2019
romance,Paperback,416,198.0,4.05,2902.0,10.65,2020
romance,Paperback,348,319.0,4.29,52.0,22.28,2000
romance,Paperback,488,319.0,4.58,652.0,19.33,2004
romance,Paperback,384,454.0,3.9,35772.0,11.03,2014
romance,Paperback,680,624.0,4.36,989.0,25.5,2002
romance,Paperback,512,340.0,3.82,31621.0,14.4,2021
romance,Paperback,272,141.0,3.69,10834.0,11.23,2011
romance,Paperback,400,310.0,3.86,338.0,14.28,2008
romance,Paperback,288,202.0,4.21,14261.0,12.7,2004
romance,Paperback,400,191.0,3.9,1933.0,9.99,2009
romance,Paperback,368,253.0,3.9,36088.0,11.35,2021
romance,Paperback,624,450.0,3.87,79756.0,14.32,2001
romance,Paperback,400,292.0,4.01,1200.0,13.27,2014
romance,Paperback,144,319.0,4.3,82.0,23.29,2009
romance,Mixed,336,1.0,4.54,65.0,22.72,2014
romance,Paperback,368,329.0,4.12,347.0,21.51,1999
romance,Paperback,352,245.0,4.09,17036.0,12.94,2004
romance,Paperback,528,388.0,3.57,2620.0,9.34,2010
romance,Paperback,512,388.0,3.81,4062.0,9.34,2009
romance,Paperback,624,426.0,3.87,79756.0,15.58,2011
romance,Paperback,528,346.0,3.96,8242.0,17.35,1991
romance,Paperback,256,181.0,4.07,10556.0,13.05,2011
romance,Paperback,496,227.0,4.29,13039.0,11.55,2014
romance,Paperback,384,704.0,3.88,208.0,18.79,2004
romance,Paperback,288,480.0,4.49,205.0,17.39,2014
romance,Paperback,384,265.0,3.66,2281.0,12.79,2009
romance,Paperback,272,192.0,3.91,9023.0,12.64,2005
romance,Paperback,448,204.0,3.96,2052.0,11.21,2015
romance,Paperback,368,255.0,3.94,9867.0,13.0,2004
romance,Paperback,384,266.0,3.96,9183.0,13.06,2011
romance,Paperback,608,394.0,3.73,524.0,25.66,2010
romance,Paperback,400,260.0,4.05,2902.0,11.21,2020
romance,Paperback,320,223.0,3.88,7724.0,12.82,2004
romance,Paperback,92,100.0,4.41,1939.0,14.53,2016
romance,Paperback,384,319.0,3.98,14333.0,10.96,2018
romance,Hardback,320,319.0,4.33,9.0,88.1,2018
romance,Paperback,576,405.0,4.17,31848.0,13.03,2006
romance,Paperback,288,267.0,3.74,7629.0,13.04,2013
romance,Paperback,256,181.0,3.69,6043.0,12.79,2005
romance,Paperback,256,200.0,3.49,6268.0,13.31,2003
romance,Hardback,320,319.0,4.12,218.0,22.59,2015
romance,Paperback,144,700.0,4.46,250.0,20.04,2017
romance,Paperback,144,319.0,4.28,29.0,43.94,2013
romance,Paperback,320,220.0,3.6,99750.0,11.41,2018
romance,Hardback,288,601.0,3.8,177093.0,33.53,2015
romance,Paperback,544,378.0,3.7,763.0,18.63,2010
romance,Paperback,176,172.0,4.23,1204.0,17.03,2005
romance,Paperback,272,193.0,3.79,1078.0,15.26,2008
romance,Paperback,176,134.0,3.7,2258.0,13.31,1978
romance,Paperback,320,256.0,3.97,1155.0,10.8,2015
romance,Paperback,336,234.0,4.14,29524.0,13.04,2013
romance,Paperback,384,263.0,3.47,4790.0,7.73,2019
romance,Paperback,256,181.0,3.59,5820.0,12.79,2004
romance,Paperback,304,275.0,3.87,14133.0,13.11,2012
romance,Hardback,448,494.0,3.68,4742.0,16.65,2020
romance,Paperback,176,127.0,3.55,5081.0,12.79,2005
romance,Paperback,400,319.0,4.1,10552.0,15.65,2011
romance,Paperback,384,181.0,3.92,7256.0,10.94,2012
romance,Paperback,208,157.0,3.67,298.0,14.07,1991
romance,Paperback,288,202.0,3.56,9849.0,14.05,1997
romance,Paperback,416,330.0,4.18,41926.0,13.51,2016
romance,Paperback,400,197.0,3.97,26338.0,11.38,2015
romance,Paperback,336,303.0,3.88,19015.0,13.27,2012
romance,Paperback,336,238.0,3.68,8074.0,17.95,2006
romance,Paperback,320,187.0,3.85,4233.0,10.94,2013
romance,Paperback,160,222.0,4.06,438.0,16.74,2020
romance,Paperback,274,404.0,4.026789306511371,552.0,16.14,2021
romance,Paperback,208,179.0,3.65,613.0,15.64,2020
romance,Paperback,294,178.0,4.21,6596.0,11.23,2016
romance,Paperback,400,212.0,3.86,12946.0,14.29,2012
romance,Paperback,304,260.0,3.97,35280.0,11.21,2019
romance,Hardback,272,590.0,4.51,2379.0,25.55,2017
romance,Paperback,416,232.0,4.05,10088.0,12.12,1993
romance,Paperback,384,280.0,4.09,1045.0,11.33,2017
romance,Paperback,288,202.0,4.11,1592.0,10.86,2018
romance,Paperback,384,190.0,3.96,17567.0,10.67,2011
romance,Paperback,160,181.0,3.45,22.0,33.28,2004
romance,Paperback,256,240.0,4.39,1635.0,15.8,2017
romance,Paperback,416,280.0,3.9,18323.0,11.33,2021
romance,Paperback,416,300.0,3.84,21695.0,11.44,2009
romance,Paperback,262,259.0,4.26,2356.0,15.03,2019
romance,Paperback,133,173.0,4.23,348.0,18.47,2000
romance,Paperback,288,368.0,4.35,396.0,17.4,2020
romance,Paperback,240,319.0,3.77,527.0,15.27,2011
romance,Paperback,28,50.0,1.0,1.0,9.71,2015
romance,Paperback,144,319.0,3.78,291.0,16.63,2020
romance,Paperback,416,280.0,4.25,248.0,11.07,2021
romance,Paperback,432,259.0,4.25,25609.0,12.49,2000
romance,Paperback,256,139.0,3.67,698.0,18.59,2014
romance,Paperback,384,204.0,3.79,2240.0,17.35,2012
romance,Paperback,278,319.0,3.57,527.0,31.29,2006
romance,Paperback,224,319.0,3.92,8667.0,12.58,2018
romance,Paperback,384,186.0,3.96,15261.0,12.01,2011
romance,Paperback,432,315.0,3.61,2342.0,16.16,2009
romance,Paperback,282,358.0,4.01,894.0,16.42,2020
romance,Hardback,200,319.0,3.5,2.0,44.65,2009
romance,Hardback,208,336.0,3.61,120.0,13.55,2021
romance,Paperback,384,204.0,3.87,4234.0,17.54,2012
romance,Paperback,576,620.0,4.17,606.0,27.19,2007
romance,Paperback,264,295.0,4.32,44170.0,18.31,2017
romance,Others,50,100.0,4.026789306511371,552.0,13.63,2018
romance,Paperback,384,280.0,4.0,83465.0,12.17,2010
romance,Paperback,400,312.0,4.01,1200.0,19.89,2016
romance,Paperback,144,125.0,4.25,163.0,15.83,1984
romance,Paperback,336,198.0,3.99,2915.0,11.03,2014
romance,Paperback,192,213.0,4.16,3292.0,18.04,2017
romance,Paperback,400,213.0,3.85,2852.0,17.59,2012
romance,Paperback,304,363.0,4.17,25392.0,18.41,2013
romance,Paperback,256,193.0,3.95,335850.0,16.75,1995
romance,Paperback,384,200.0,3.99,16758.0,13.26,2011
romance,Paperback,400,198.0,3.68,8481.0,11.09,2011
romance,Paperback,198,319.0,4.07,3535.0,18.04,2016
romance,Paperback,224,252.0,3.99,376.0,17.91,2003
romance,Paperback,176,136.0,3.36,5280.0,8.2,2003
romance,Paperback,820,319.0,4.37,4511.0,35.56,2015
romance,Hardback,240,268.0,3.36,160.0,19.75,2015
romance,Hardback,592,319.0,3.94,154.0,43.61,2017
romance,Hardback,168,76.0,4.21,29.0,8.94,2014
romance,Paperback,306,319.0,3.77,494.0,37.01,1991
romance,Paperback,224,208.0,4.12,317.0,16.63,2007
romance,Paperback,448,181.0,4.28,4291.0,11.54,2016
romance,Paperback,176,231.0,3.57,527.0,19.2,2012
romance,Paperback,384,260.0,3.7,9281.0,11.79,2021
romance,Paperback,272,247.0,3.87,4892.0,10.24,2013
romance,Paperback,432,181.0,3.85,20978.0,10.23,2017
romance,Paperback,304,249.0,3.36,5280.0,11.17,1984
romance,CD-Audio,336,319.0,3.75,61.0,17.91,2015
romance,Paperback,432,295.0,4.23,1662.0,9.6,2020
romance,Paperback,350,513.0,5.0,1.0,19.67,2021
romance,Paperback,496,338.0,3.56,267.0,9.04,2013
romance,Paperback,384,204.0,3.63,5585.0,14.75,2012
romance,Hardback,272,319.0,5.0,2.0,44.48,2017
romance,Paperback,288,202.0,3.86,4020.0,12.79,2013
romance,Paperback,256,251.0,3.43,609.0,12.13,2019
romance,Paperback,242,319.0,3.5,251.0,17.58,2012
romance,Paperback,448,352.0,3.83,7671.0,11.75,2007
romance,Paperback,479,386.0,4.29,5218.0,17.56,2004
romance,Paperback,400,212.0,3.85,6271.0,16.74,2012
romance,Paperback,320,176.0,3.81,2007.0,10.8,2015
romance,Paperback,1120,319.0,4.18,365.0,30.97,1998
romance,Paperback,320,159.0,3.79,1851.0,12.75,2015
romance,Paperback,432,280.0,3.97,9863.0,11.33,2013
romance,Paperback,432,229.0,3.83,1845.0,17.76,2012
romance,Paperback,240,319.0,3.73,320.0,15.11,2005
romance,Paperback,240,319.0,3.73,177.0,23.03,2007
romance,Paperback,352,319.0,3.3,4790.0,15.51,2018
romance,Paperback,512,318.0,3.78,3151.0,18.41,1961
romance,Hardback,208,329.0,4.23,48.0,15.21,2017
romance,Paperback,224,122.0,3.82,1769.0,16.09,2003
romance,Paperback,164,181.0,4.4,168.0,11.95,2019
romance,Paperback,112,319.0,3.58,60.0,17.91,2019
